PARAMETER.NAME,DOWNLOAD,SENSOR_DATASET,FREQUENCY,URL,DATASET.ID,GRID.VARIABLE,START_DATE,STOP_DATE,TIMESTEPS,BLOCKSIZE,Summaries,MaskForOceanColor
Bathymetry_CRM10,NO,NOAA_NGDC,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,usgsCeCrm10_Lon0360,topo,Depth_M,Depth_M,1,99999999,NA,FALSE
Bathymetry_ETOPO1,YES,NOAA_NGDC,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,etopo360,altitude,Depth_M,Depth_M,1,99999999,NA,FALSE
Bathymetry_SRTM15,YES,SIO_NOAA_US_Navy_NGA_GEBCO,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,srtm15plus,z,Depth_M,Depth_M,1,99999999,NA,FALSE
Chlorophyll_A_ESA_OC_CCI_8Day,YES,Plymouth_Marine_Laboratory,8day,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-chla-8d-v5-0,chlor_a,9/4/1997,12/27/2021,1120,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
Chlorophyll_A_ESA_OC_CCI_Clim_v5.0,YES,Plymouth_Marine_Laboratory,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-chla-1998-2019-clim-v5-0,chlor_a,Cumulative_Mean_1998_2019,Cumulative_Mean_1998_2020,1,99999999,NA,TRUE
Chlorophyll_A_NPP_VIIRS_Monthly,YES,NOAA_NESDIS_STAR,Monthly,https://oceanwatch.pifsc.noaa.gov/erddap/,noaa_snpp_chla_monthly_750m,chlor_a,1/16/2012,1/16/2021,109,30000,mean;q05;q95;sd;mean_annual_range,TRUE
Degree_Heating_Weeks_CRW_Daily,YES,Coral_Reef_Watch,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_dhw_v1_0,degree_heating_week,3/25/1985,3/8/2022,13498,10000,DHW.Np10y;DHW.Np10y_Major;DHW.MeanMax;DHW.MeanMax_Major;DHW.CI95Max;DHW.CI95Max_Major;DHW.MeanDur;DHW.MeanDur_Major;DHW.MaxMax;DHW.MaxMax_Major;DHW.YearsToLast;DHW.YearsToLast_Major,FALSE
Kd490_ESA_OC_CCI_8Day,YES,Plymouth_Marine_Laboratory,8day,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-kd-8d-v5-0,kd_490,9/4/1997,6/25/2020,1051,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
KdPAR_NOAA_VIIRS_Weekly,NO,NOAA_VIIRS,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkdparWeekly,kd_par,1/2/2012,7/16/2022,546,10000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
PAR_Aqua_MODIS_Daily,YES,NASA_GSFC_OBPG,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,aqua_par_1d_2018_0,par,7/4/2002,5/31/2022,7250,50000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range;mean_weekly_range,TRUE
PAR_NASA_VIIRS_8Day,YES,NASA_GSFC_OBPG,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,erdVH2018par8day,par,1/5/2012,7/24/2022,486,30000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE
SST_CRW_CoralTemp_v3.1_Clim,YES,NOAA_NESDIS_STAR_CRW,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_sst_v3_1_1985-2019-clim,sea_surface_temperature,Cumulative_Mean_1985_2019,Cumulative_Mean_1985_2019,1,99999999,NA,FALSE
SST_CRW_CoralTemp_Daily,YES,NOAA_NESDIS_STAR_CRW,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_sst_v1_0,analysed_sst,1/1/1985,3/8/2021,13216,50000,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range;mean_weekly_range,FALSE
