REGION,ISLAND.CODE,TOP_YMAX,BOTTOM_YMIN,LEFT_XMIN,RIGHT_XMAX,INCLUDED.ISLANDS
MARIAN,Agrihan,18.62453047,18.91122164,145.8023805,145.5347193,
MARIAN,Aguijan,14.72924976,14.96709422,145.68004919999998,145.4262,
MARIAN,Alamagan,17.478119999999997,17.7211183,145.95291939999998,145.7127,
MARIAN,Anatahan,16.233279999999997,16.470583,145.82027,145.54495,
MARIAN,Arakane,15.534270000000001,15.73667,142.85978,142.65887,
MARIAN,Asuncion,19.573079349999997,19.80855,145.520403,145.28723680000002,
PRIAs,Baker,0.08615771,0.30668300000000004,-176.356715,-176.58893,
MARIAN,Farallon_de_Pajaros,20.434605809999997,20.65405,145.0052,144.7854,
NWHI,French_Frigate,23.524259999999998,23.983810000000002,-165.949151,-166.4547,
NWHI,Gardner,24.896289999999997,25.101010000000002,-167.89803,-168.1098,
MARIAN,Guam,13.12889458,13.759840239999999,145.0624264,144.5224518,
MARIAN,Guguan,17.19447,17.423250000000003,145.9528129,145.7306799,
MHI,Hawaii,18.81465,20.3712,-154.70420000000001,-156.160932,
PRIAs,Howland,0.68957,0.92447568,-176.509552,-176.72707,
PRIAs,Jarvis,-0.482607,-0.2611827,-159.87147530000001,-160.115921,
PRIAs,Johnston,16.56298,16.888170000000002,-169.2731381,-169.667432,
MHI,Kahoolawe,20.40111,20.708830000000003,-156.4307,-156.8106,
MHI,Kauai,21.7689,22.346836680000003,-159.18210000000002,-159.8942446,
MHI,Kaula,21.552767,21.755167,-160.44365000000002,-160.645217,
PRIAs,Kingman,6.27824,6.553531759999999,-162.23409,-162.5797,
NWHI,Kure,28.277983329999998,28.55947,-178.175,-178.4843,
MHI,Lanai,20.63067,21.03291,-156.7013791,-157.1615841,
NWHI,Laysan,25.595916669999998,25.902440000000002,-171.57638,-171.8716,
MHI,Lehua,21.914533,22.129283,-159.9914,-160.20159999999998,
NWHI,Lisianski,25.78560693,26.31462,-173.41993,-174.1589,
NWHI,Maro,25.21746,25.62452,-170.3546667,-170.8101667,
MARIAN,Maug,19.908559999999998,20.137115050000002,145.3404,145.1060879,
MHI,Maui,20.47842,21.13291926,-155.874224,-156.80079999999998,
NWHI,Midway,28.088616669999997,28.38649874,-177.2078137,-177.5308,
MHI,Molokai,20.93225,21.315533000000002,-156.6063,-157.41422839999998,
MHI,Molokini,20.530299999999997,20.733600000000003,-156.3966,-156.59879999999998,
NWHI,Necker,23.39286667,23.67958333,-164.54196670000002,-164.8215833,
NWHI,Nihoa,22.9533,23.16271,-161.81402,-162.03,
MHI,Niihau,21.68143,22.12773,-159.9482,-160.352333,
MHI,Oahu,21.14259,21.804478760000002,-157.548183,-158.393217,
SAMOA,Ofu_&_Olosega,-14.29343488,-14.048400000000001,-169.5026561,-169.7874,
MARIAN,Pagan,17.94265359,18.27066143,145.9159,145.6051747,
PRIAs,Palmyra,5.7607610000000005,5.999029999999999,-161.8998,-162.26948,
MARIAN,Pathfinder,16.402649999999998,16.60415,143.24872,143.04548,
NWHI,Pearl_&_Hermes,27.371779999999998,28.06905369,-175.3483,-176.1162,
SAMOA,Rose,-14.66062,-14.42811045,-168.0373351,-168.2729,
MARIAN,Rota,14.00888,14.30293,145.393,145.023886,
MARIAN,Saipan,14.99128264,15.39062,145.932176,145.5615057,
MARIAN,Santa_Rosa,12.7113,12.912799999999999,144.52485,144.32387,
MARIAN,Sarigan,16.59038875,16.81876141,145.8906969,145.6660189,
SAMOA,South_Bank,-14.98716,-14.77711,-170.53179,-170.73252,
MARIAN,Stingray,20.39437,20.59438,142.53902,142.33847,
MARIAN,Supply,20.04017,20.240170000000003,145.19835,144.99835000000002,
SAMOA,Swains,-11.168429999999999,-10.94524,-170.9638459,-171.1925737,
SAMOA,Tau,-14.376719999999999,-14.10889,-169.3166,-169.62,
MARIAN,Tinian,14.825000000000001,15.19925484,145.77423439999998,145.48430000000002,
SAMOA,Tutuila,-14.4731,-14.12547848,-170.40507,-170.94791999999998,
PRIAs,Wake,19.167377969999997,19.425733450000003,166.7604718,166.49370000000002,
MARIAN,Zealandia,16.79487,16.997570000000003,145.95292,145.7494,
